ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,
101069,0,0,1.27E-10,0,0,
101129,0,0,0,1.57E-11,1.33E-15,
101523,0,0,0,0,0,
100077,0,0,0.008234598,0,0,
101400,0,0,0.781173562,3.57E-14,0,
100106,1.07E-08,0,0.000266908,4.77E-06,2.63E-09,
100181,0,0,5.28E-14,0,0,
100060,0,0,0,0,0,
100433,0,0,0.215553528,0.005834556,0.000428654,
100438,0,0,0.176237636,0,0,
100336,0,0,0.007236096,0,0,
100873,0.000451905,0,0.292391688,0.014198192,0.000369785,
101463,0,0,1.10E-14,0,0,
101496,0,0,0.026508751,1.57E-13,2.22E-16,
100211,0,0,0.614970755,0,0,
101180,1.56E-08,0,0.539914733,0.038998273,0.008385453,
101510,0,0,0,0,0,
100718,0,0,6.95E-05,0,0,
101759,0,0,0.008181876,0,0,
101292,0,0,0.087926858,0,0,
100851,1.00E-09,0,0.542182084,3.60E-05,7.54E-08,
100754,0,0,0.316675533,0,0,
100343,0,0,0.065050804,0,0,
101563,0,0,0,0,0,
100070,0,0,0.141128894,0,0,
100925,0,0,5.34E-14,0,0,
100488,0,0,7.29E-11,0,0,
101063,0,0,0,0,0,
101194,0,0,0.981342041,0,0,
100534,0,0,0,0,0,
100317,0,0,0.001637571,0,0,
100012,0,0,0.750078906,0.000527392,7.36E-05,
101384,0,0,0.055638818,3.25E-08,1.82E-12,
101332,0,0,0,0,0,
100817,0,0,0,0,0,
100783,0,0,0,0,0,
100213,0,0,0,0,0,
100755,0,0,3.75E-05,0,0,
101287,0.044778431,1.26E-12,0.016490341,0.015322982,0.01961015,
100386,0,0,0,0,0,
100417,0,0,0.003166567,0,0,
100776,3.32E-06,0,0.417942913,0.052171251,0.00592273,
100950,0,0,0,0,0,
100185,0,0,0,0,0,
100421,0,0,0.231666388,0,0,
100532,9.99E-16,0,0.698213318,1.49E-05,5.12E-07,
100283,0,0,0.621989568,0,0,
100374,0,0,0.092323057,0,0,
100753,0,0,0.000594269,0,0,
100216,0,2.00E-15,0.00090214,1.60E-06,5.98E-09,
101142,0,0,0,0,0,
100523,0,0,4.44E-15,0,0,
100845,0,0,0,0,0,
101553,0,0,1.85E-11,0,0,
101635,0,0,0,0,0,
101732,0,0,0.004838971,0,0,
100822,0,0,0,0,0,
100152,0,0,0,0,0,
101373,0,0,1.04E-08,0,0,
100865,0,0,0,0,0,
100758,0,0,0,0,0,
100678,0,0,0,0,0,
101751,0,0,0.330359072,0,0,
100654,0,0,0,0,0,
101278,0,0,0.077199279,0,0,
100289,0,0,0.003147909,8.08E-12,5.55E-16,
101264,0,0,0.000554005,0,0,
100277,0,0,0,0,0,
100459,0,0,9.09E-05,0,0,
101275,0,0,0.306823142,0,0,
100584,0,0,6.88E-15,0,0,
101473,0,0,0,0,0,
100594,0,0,9.28E-08,0,0,
100073,0,0,0.000658426,0,0,
101138,0,0,0,0,0,
101738,0,0,0,0,0,
100230,0,0,0.434718054,0,0,
100383,0,0,0.003593458,0,0,
100818,0,0,0.000282717,0,0,
100990,0,0,0,0,0,
100365,0,0,0.816136517,1.04E-10,1.11E-16,
100947,0,0,0.486400124,0,0,
101780,0,0,0,0,0,
100172,0,0,0,0,0,
100574,1.55E-07,0,0.481551634,0.141081159,0.032196985,
100327,0,0,0.091645742,0,0,
101308,2.77E-12,0,0.398113228,0.000505827,1.37E-05,
101702,0,0,0.160349277,0,0,
101565,0,0,0.254813791,0,0,
100346,0,0,0,0,0,
100904,0,0,0,0,0,
101083,0,0,0.104288493,0,0,
101226,0,0,0,0,0,
101706,0,0,0,0,0,
100035,0,0,0,0,0,
101206,0,0,0.303881904,0.032466192,0.010855076,
100522,0,0,0,0,0,
100706,0,0,6.02E-13,0,0,
100652,0,0,0.066265445,0,0,
101102,0,0,0.046928831,0,0,
101164,0,0,0,0,0,
101535,0,0,0,0,0,
100217,1.54E-14,0,0.448023182,1.65E-08,9.40E-14,
101073,1.17E-12,2.00E-15,0.630843985,0.221572657,0.042188338,
101776,0,0,0.076213621,0,0,
101634,0,0,0,0,0,
101210,0,0,0.070268597,0,0,
100175,0,0,0,0,0,
100448,0,0,0,0,0,
101682,0,0,0.206681507,0.000322377,1.39E-06,
100419,0,0,0,0,0,
101571,0,0,0,0,0,
100882,0,0,4.92E-14,0,0,
100762,0,0,0,0,0,
100334,0,0,0,0,0,
100583,0,0,0.564145204,0,0,
101681,0,0,0.000345361,0,0,
101689,7.77E-16,0,0,3.66E-06,3.97E-06,
101258,0,0,0.480055017,0,0,
100212,0,0,0.01830124,0,0,
100218,0,0,0,0,0,
101595,0,0,0.052570181,4.16E-06,1.58E-07,
100636,0,0,0.318989928,0.000458258,1.20E-05,
100418,0,0,0.322441938,0,0,
101478,0,0,0.016729244,0,0,
100253,0,0,1.04E-05,0,0,
100455,0,0,2.02E-07,0,0,
100784,0,0,0,0,0,
101610,1.11E-16,1.62E-05,0.620913018,0.038201481,0.036358228,
100291,0,0,0,0,0,
100117,0,0,0,0,0,
100622,0,0,0.711854276,0,0,
101029,0,0,0.743151423,0,0,
101024,0,0,0,0,0,
101440,0,0,1.88E-12,0,0,
100199,0,0,0.804403187,0,0,
101713,0,0,0,0,0,
100709,0,0,0.071530317,1.16E-05,1.64E-08,
100902,0,0,0.01207802,0,0,
100251,0,0,0.092698687,0.004602057,0.000163764,
100973,4.99E-07,0,0.591014074,0.066117375,0.015112534,
101436,2.44E-15,0,0.260325917,6.10E-14,1.44E-15,
100625,0,0,0.783950386,0.000730278,5.68E-06,
101774,0,0,0,0,0,
100992,7.70E-08,3.41E-14,0.269973605,0.007423532,0.000803538,
100026,0,0,0.197580149,0,0,
100780,9.99E-16,0,0.086875235,2.86E-10,9.99E-16,
100267,2.60E-13,0,0.401711618,0.004362427,0.000623507,
100978,3.10E-05,2.22E-15,0.606849969,0.008068469,0.001161462,
100987,0,0,5.55E-16,0,0,
101498,0,0,0.738551692,0,0,
101656,0.003174901,8.43E-12,0.742669649,0.003617827,0.001747654,
100939,0,0,0.933524788,0,0,
100842,0,0,0.360692438,0,0,
100550,0,0,0,0,0,
100057,0,0,0,0,0,
100104,0,0,0,0,0,
101769,0,0,0.072394869,1.40E-05,3.63E-10,
100674,0,0,4.07E-10,0,0,
101783,1.25E-05,0,0.892075306,0.004388868,0.00049653,
101459,0,0,2.91E-12,0,0,
100684,0,0,0,0,0,
100394,3.38E-11,0,0.006442496,0,0,
101447,0,0,2.00E-14,0,0,
101703,0,0,2.14E-07,0,0,
101050,0,0,0.390918718,2.16E-09,1.08E-13,
