ID,Gaussian,Gamma,ROT2,ROT1,RTLLR,DPMM,GMM
100925,0.02305648,0.018533375,0.01939329,0.01802889,0.003169835,0.010081615,0.001859805
100488,0.006035177,0.005751082,0.00393176,0.003542937,0.001087506,0.004503113,0.001513858
101063,0.025657676,0.015050591,0.016341716,0.013929723,0.007579687,0.008440088,0.003301619
101194,0.031720945,0.028151971,0.011049603,0.007941434,0.001639556,0.002034215,0.00124461
100534,0.042637324,0.026629051,0.024827005,0.021407766,0.005872995,0.00248936,0.001294013
100317,0.02813981,0.023895647,0.011075359,0.009555719,0.001962491,0.004212498,0.001743606
100012,0.007592228,0.006419548,0.002757392,0.002395927,0.00140211,0.003910325,0.002044954
101384,0.011240666,0.008586519,0.003938701,0.002957203,0.001657877,0.001680988,0.001221859
101332,0.03199652,0.019494637,0.021650067,0.018850441,0.008246812,0.007382563,0.002450162
100817,0.002308397,0.002627413,0.002082387,0.002078333,0.000807635,0.002044175,0.001137761
100783,0.0154704,0.016207681,0.01099753,0.009810554,0.001761776,0.004811889,0.00086866
100213,0.039312896,0.01918586,0.022994054,0.020218994,0.00388871,0.001332071,0.001512978
100755,0.007804698,0.005596823,0.004510768,0.003863274,0.001221901,0.00606418,0.00113265
101287,0.00666741,0.003502587,0.002346986,0.002200177,0.002410984,0.002288742,0.001605395
100386,0.000531509,0.000610815,0.000549248,0.000567292,0.000536185,0.010371243,0.002190377
100417,0.042635979,0.033523139,0.023994434,0.020957799,0.002178098,0.005114635,0.001072972
100776,0.009108306,0.005229485,0.002361615,0.002011246,0.001556301,0.002235956,0.001351268
100950,0.03360489,0.023840921,0.025616319,0.023475933,0.005605211,0.006696995,0.002553787
100185,0.046050128,0.042694728,0.028777853,0.024280292,0.008758177,0.021232403,0.001202795
100421,0.043778635,0.041254222,0.018567983,0.013480798,0.001866181,0.002329981,0.000879875
100532,0.01117939,0.006710345,0.003900642,0.003558853,0.00220055,0.002070131,0.001375595
100283,0.046350612,0.044336562,0.021948172,0.016524368,0.002260938,0.00179988,0.001323873
100374,0.055738788,0.053266576,0.018870229,0.011951328,0.002891092,0.018332236,0.001054629
100753,0.021765579,0.020651283,0.014492467,0.012683711,0.002588292,0.002918019,0.001245905
100216,0.010314311,0.010916998,0.005905078,0.004839993,0.001780674,0.005983604,0.001890081
101142,0.031519456,0.021954566,0.021641827,0.019412574,0.003060263,0.001287298,0.001025376
100523,0.007487926,0.006187988,0.004488139,0.003951901,0.001519478,0.002837414,0.001598486
100845,0.015492698,0.011641087,0.007550341,0.006794755,0.003481137,0.006661706,0.001416683
101553,0.048397605,0.037894144,0.027738275,0.023132244,0.005722894,0.003744109,0.001685021
101635,0.007987577,0.006165848,0.003985852,0.00393444,0.003941518,0.006854668,0.001261618
101732,0.070071837,0.048960211,0.02826407,0.023163577,0.003253042,0.004446677,0.000986659
100822,0.012111793,0.005761652,0.006907455,0.006108969,0.003805499,0.002747697,0.00173716
100152,0.001130062,0.001252893,0.000989691,0.000977546,0.001035869,0.00507211,0.002283883
101373,0.038821427,0.026972676,0.020011955,0.015965761,0.002901948,0.006820144,0.001569532
100865,0.162214218,0.158422564,0.079771136,0.067946713,0.103998585,0.021457344,0.009157238
100758,0.011066499,0.007857115,0.007747672,0.006763942,0.006684973,0.012786665,0.005143867
100678,0.03711501,0.02817162,0.02333574,0.019985713,0.00603104,0.005555132,0.001612006
101751,0.050863785,0.043659698,0.030872818,0.027240449,0.002303831,0.001565033,0.001470925
100654,0.033107745,0.022178559,0.022432903,0.019539318,0.005614171,0.007818213,0.001900395
101278,0.041168227,0.034940256,0.016779844,0.01360712,0.002598306,0.006442667,0.001263156
100289,0.005186579,0.002813761,0.001788908,0.00162685,0.001020149,0.002375219,0.001305403
101264,0.018875072,0.013391151,0.01329007,0.012472603,0.001975412,0.003803214,0.001645082
100277,0.03682712,0.037959937,0.025519185,0.020867367,0.004535024,0.020448697,0.001639948
100459,0.029255294,0.019398389,0.019479596,0.016535607,0.002608958,0.004528724,0.00187887
101275,0.014287526,0.011418062,0.005797028,0.00436566,0.001434067,0.003010222,0.001488303
100584,0.023098907,0.013657056,0.009214312,0.007734492,0.002865695,0.007320459,0.001589289
101473,0.000377222,0.000384563,0.000360714,0.000357787,0.000275054,0.003483851,0.007859948
100594,0.00961712,0.007576764,0.004403288,0.003974397,0.001143195,0.004803662,0.000949953
100073,0.006749466,0.004798013,0.003484828,0.002990512,0.000935722,0.003233356,0.001643503
101138,0.00290404,0.002769378,0.002071103,0.001955989,0.001298856,0.005224535,0.001166953
101738,0.063182585,0.048544737,0.024793016,0.019693405,0.007179337,0.003849405,0.001652192
100230,0.017565701,0.012864665,0.007342733,0.007037125,0.001375952,0.002907022,0.001287925
100383,0.078151927,0.05540039,0.034104127,0.027113457,0.00422531,0.001661198,0.001425812
100818,0.068373555,0.047585039,0.026309219,0.021325492,0.003723535,0.003217218,0.001379072
100990,0.000149122,0.000179641,0.000166947,0.000174271,0.000175326,0.01440649,0.020419202
100365,0.030204224,0.025081686,0.01220222,0.00970972,0.002203404,0.004626423,0.001807788
100947,0.050230579,0.046224938,0.020883965,0.017061258,0.001375593,0.004364082,0.001716211
101780,0.002934779,0.002965042,0.002324148,0.002171104,0.001383716,0.004263764,0.002334467
100172,0.000810259,0.000972278,0.000765887,0.000762421,0.000877624,0.005297338,0.01868334
100574,0.006132699,0.004216289,0.002315387,0.002086247,0.001933157,0.003472584,0.001620999
100327,0.007821168,0.005817682,0.003490082,0.003116402,0.000992776,0.002591676,0.001353355
101308,0.006940433,0.003842774,0.001980793,0.00172462,0.001358517,0.002102414,0.001232016
101702,0.028531161,0.025354618,0.011895421,0.008924538,0.002360112,0.002829698,0.001563915
101565,0.0450394,0.032715198,0.016765257,0.011792749,0.0018546,0.00312817,0.001337373
100346,0.024199379,0.024685523,0.019639512,0.017247493,0.011067333,0.013844136,0.001316905
100904,0.015383164,0.009077007,0.011229579,0.010358577,0.002919599,0.004876903,0.003031625
101083,0.01814587,0.012001806,0.010381887,0.008257674,0.001816882,0.003295466,0.001165439
101226,0.006352325,0.003867205,0.00472259,0.004540049,0.001204202,0.006889024,0.002600371
101706,0.061957823,0.058427637,0.046980621,0.041073217,0.061029321,0.017909137,0.006162632
100035,3.33E-05,4.19E-05,3.61E-05,3.71E-05,4.07E-05,0.004892693,0.013649224
101206,0.018338117,0.020547026,0.006040755,0.005215322,0.003915007,0.006319791,0.002092018
100522,0.011179393,0.00431536,0.004525771,0.004180728,0.005952627,0.00231505,0.001287842
100706,0.01985935,0.012854151,0.015733349,0.014534753,0.001957745,0.002846776,0.00186466
100652,0.00721077,0.00443591,0.002422991,0.00223217,0.001061862,0.003433484,0.001125526
101102,0.032167483,0.031846024,0.02356027,0.022349895,0.001675765,0.001846213,0.001302289
101164,0.02554737,0.015982322,0.016154156,0.013911945,0.003852247,0.001652321,0.001233378
101535,0.009630946,0.009665099,0.007816168,0.007070375,0.00604888,0.013926087,0.001543263
100217,0.016468035,0.009085323,0.005504275,0.004744601,0.001923592,0.001883237,0.001311602
101073,0.008176836,0.007776992,0.003088095,0.002802669,0.002289821,0.001783548,0.001618555
101776,0.01187258,0.009577802,0.00599052,0.005459716,0.001374064,0.00245294,0.001228999
101634,0.006135073,0.006402473,0.004692787,0.004595863,0.004831836,0.011514532,0.002613319
101210,0.012464658,0.011321299,0.008817081,0.007904497,0.001109007,0.002487282,0.001122615
100175,0.016844781,0.019014064,0.01471407,0.013613091,0.011948274,0.009056259,0.003521459
100448,0.000282913,0.000332444,0.000283145,0.000289747,0.000313614,0.012887168,0.004287368
101682,0.009786364,0.005243229,0.002345079,0.001953448,0.001301154,0.001892711,0.001075753
100419,0.005009479,0.002325486,0.003088238,0.002674866,0.002297342,0.003409863,0.001658779
101571,0.030339486,0.018193571,0.019856245,0.017729283,0.003161295,0.001020731,0.000983667
100882,0.05145023,0.03889861,0.031318267,0.027117458,0.003452143,0.001416854,0.00167799
100762,0.000111054,0.000137219,0.000121763,0.00012708,0.000135785,0.006982217,0.013133611
100334,0.002889451,0.002555938,0.001986487,0.001810078,0.001492181,0.003760306,0.002121056
100583,0.0212959,0.019889816,0.013135654,0.010296035,0.001214136,0.002654361,0.001168439
101681,0.019763956,0.012459267,0.01134597,0.009875222,0.002265358,0.002116369,0.001654431
101689,0.006634966,0.006160935,0.003305957,0.002893601,0.005638818,0.006621883,0.001592139
101258,0.014297959,0.011652174,0.007883942,0.007231395,0.001871063,0.001708794,0.001961073
100212,0.022877424,0.022459041,0.017451054,0.015113335,0.001473379,0.005952043,0.002282594
100218,0.020840927,0.013555909,0.013733438,0.012347052,0.009838941,0.007529961,0.004743515
101595,0.010180975,0.015633925,0.00469338,0.00400789,0.002649361,0.004950821,0.001928072
100636,0.012578837,0.009736292,0.002833382,0.002363253,0.001659671,0.010985879,0.001654927
100418,0.110921418,0.103504047,0.047443014,0.036395477,0.004425945,0.002071331,0.001421994
101478,0.006737184,0.006325801,0.003515079,0.003158843,0.001169075,0.011480286,0.002389604
100253,0.051931241,0.048587878,0.028014269,0.021501666,0.003718133,0.019481122,0.002041931
100455,0.050124915,0.035444298,0.029540271,0.024699005,0.002485964,0.00286841,0.001526015
100784,0.041654395,0.04356471,0.026424968,0.021937003,0.008233459,0.006484671,0.001591318
101610,0.004173996,0.006987011,0.001976936,0.001797056,0.001853859,0.00292299,0.001322518
100291,0.000739776,0.000768745,0.000630845,0.000617781,0.000665746,0.004112959,0.017489072
100117,0.00337823,0.002513259,0.001610478,0.001281061,0.001440126,0.006120393,0.000562481
100622,0.037278127,0.034415005,0.014316202,0.010886804,0.002247562,0.004183127,0.001531209
101029,0.07724978,0.070136451,0.029382567,0.023551375,0.004364006,0.005152995,0.001627893
101024,0.019792298,0.014022993,0.012217021,0.011428334,0.006942121,0.011422071,0.002955154
101440,0.003571082,0.003857111,0.002832728,0.002611111,0.000745838,0.003017761,0.001011107
100199,0.017376032,0.012983204,0.008871722,0.007738101,0.001709474,0.003199345,0.001709432
101713,0.000645848,0.000760628,0.000742102,0.000757251,0.000708156,0.016873201,0.001756222
100709,0.007250297,0.004827528,0.001983138,0.001661034,0.001078401,0.002737061,0.001330087
100902,0.025344382,0.018201018,0.015780607,0.013201009,0.001898193,0.001513694,0.001453471
100251,0.024653132,0.024388546,0.006597433,0.005137766,0.003414461,0.007129818,0.001720045
100973,0.006864937,0.003887837,0.001732318,0.001573372,0.001351764,0.002520789,0.001439993
101436,0.015347451,0.010605128,0.007792211,0.0068879,0.002370315,0.005911268,0.001731773
100625,0.009232144,0.006339805,0.002179331,0.001809159,0.001282935,0.002437418,0.001133216
101774,0.00377246,0.001354858,0.00141376,0.001155832,0.000760766,0.003387229,0.001064766
100992,0.006609562,0.005769843,0.003268329,0.002636046,0.001652219,0.004470618,0.001572712
100026,0.012075637,0.00812393,0.004999847,0.004137998,0.001437339,0.002691519,0.001214017
100780,0.013371877,0.007584385,0.004950818,0.004196825,0.002251649,0.004093593,0.001419178
100267,0.010186336,0.006294359,0.002778697,0.002373626,0.001774792,0.001638698,0.00114306
100978,0.006439047,0.003734401,0.002170367,0.001965674,0.001567967,0.001667457,0.001532685
100987,0.031028012,0.019537136,0.015830048,0.012408828,0.002385002,0.003912327,0.001457196
101498,0.013970904,0.013339162,0.00789709,0.006833861,0.00121551,0.001363529,0.001234994
101656,0.006707416,0.004637528,0.002813869,0.002535044,0.001970845,0.002736945,0.002056913
100939,0.013470047,0.010798073,0.007304766,0.006261066,0.001524329,0.003308159,0.001234381
100842,0.050471798,0.054898782,0.03418302,0.030338354,0.002617189,0.003419179,0.001055884
100550,0.025665599,0.017669189,0.015374274,0.012830379,0.004515718,0.007157206,0.001938208
100057,0.001371684,0.00134524,0.001351475,0.001360442,0.001367487,0.022292228,0.015738064
100104,0.011165762,0.010103542,0.007695354,0.006544925,0.00823103,0.013383708,0.002618945
101769,0.008653791,0.006493367,0.00367929,0.002845683,0.001463955,0.001751435,0.001700808
100674,0.004132853,0.00222883,0.001816447,0.001762341,0.001407186,0.003301648,0.000649346
101783,0.007051245,0.004852076,0.002296678,0.0020423,0.00149031,0.001501568,0.001128812
101459,0.011238406,0.008119589,0.005049147,0.004802037,0.001718579,0.003685423,0.000999943
100684,0.016463097,0.008828289,0.007251937,0.006261708,0.002841726,0.00557397,0.001222716
100394,0.012984623,0.006493306,0.006514413,0.005502459,0.002557854,0.005028172,0.002141542
101447,0.051117819,0.050599928,0.028939981,0.023952114,0.003676858,0.00455346,0.001215004
101703,0.008870002,0.005616647,0.004162727,0.003513738,0.001733124,0.004578867,0.000958472
101050,0.013243527,0.0148127,0.007778023,0.006764643,0.002054044,0.00318564,0.001494207
100272,0.009432215,0.00634525,0.004400291,0.00400045,0.002841625,0.003266411,0.001967724
101537,0.011432383,0.009583598,0.006541605,0.00598002,0.002932585,0.006932232,0.001277058
101360,0.042604722,0.031826084,0.034926623,0.03095362,0.007536923,0.011006752,0.003451064
100353,0.072999592,0.057731521,0.036903565,0.031594411,0.005143352,0.002466455,0.001642502
101416,0.005866182,0.003986632,0.002431577,0.002104723,0.000814115,0.003201228,0.001163
101594,0.047884663,0.031532312,0.031095427,0.026732923,0.004243806,0.003314843,0.001413673
100064,0.010808301,0.008199942,0.006060704,0.005133679,0.001927709,0.003846043,0.001204445
101375,0.067061089,0.06233995,0.025118287,0.017012636,0.001706886,0.002010624,0.00125156
100890,0.012473944,0.008809277,0.006209708,0.005476511,0.001946682,0.002655375,0.001205505
100850,0.016421417,0.009653476,0.011826517,0.010839325,0.003672799,0.003211436,0.001956292
101055,0.022700165,0.0232664,0.007800433,0.006118541,0.003021087,0.002142984,0.001803402
100968,0.051394662,0.04947468,0.021384125,0.015381184,0.003159766,0.002168198,0.001577778
100685,0.024478805,0.025468201,0.006003717,0.004128844,0.001839648,0.009354278,0.001706264
