ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,GMM
100242,1.22E-15,0,2.82E-07,0,0,0.05032217
101041,6.54E-10,1.27E-07,0.179843111,0.003383705,0.002617794,0.050979319
100377,0,0,0.377664883,0,0,0.235772807
101630,0,0,0,0,0,0.484914693
100151,0,0,0.002391682,0,0,0.198220965
101512,0,0,5.66E-15,0,0,0.355834293
101465,0,0,0.001732262,1.01E-08,3.60E-11,0.278451705
101082,0,0,0.309553575,0,0,0.274290533
101313,0,0,0,0,0,0.112032849
101712,0,0,0.161033841,0.207361061,0.065874195,0.086141878
100616,0,0,0,0,0,0.001838384
100437,0,0,0.034835858,0,0,0.612893836
100313,0,0,0.14071099,0,0,0.178186641
100371,0,0,0.000911706,0,0,0.363106142
101187,0,0,0.592699393,0,0,0.643601022
101593,0,0,0,0,0,0.124887902
100665,0,0,0.011969072,0,0,0.002779399
101152,0,0,0.846883427,0.002591431,2.39E-05,0.754764756
100425,0,0,0.002691768,1.11E-16,0,0.730620639
101493,0,0,0,0,0,0.384328289
100010,0,0,0.020786031,0,0,0.334036733
100756,0,0,5.21E-08,0,0,0.602834671
100303,0,0,3.33E-16,0,0,0.087224829
101585,0,0,0.011343186,0,0,0.266891387
100087,0,0,0.43228394,0,0,0.005915225
100380,0,0,0,0,0,0.635909637
101320,0,0,0,0,0,2.75E-14
100908,0,0,0.000303191,0,0,0.49921829
101283,0,0,0,0,0,0
101108,0,0,0,0,0,0
100586,0,0,0.123459572,1.40E-05,1.35E-07,0.126654914
100444,0,0,0.00104747,0,0,0.861355611
100375,0.359659865,2.77E-08,0.544556086,0.005127719,0.003637423,0.310222995
100854,0,0,0.098643536,0,0,0.829751968
101611,0.003706961,4.24E-12,0.295236966,0.017295269,0.002076776,0.208007418
100635,0,0,0,0,0,0.030054591
100597,0,0,0.002042314,0,0,0.038014434
100198,0,0,2.25E-06,0,0,0.718321406
101391,0,0,0,0,0,0.207531543
100658,0,0,4.77E-09,0,0,0.036376549
101383,0,0,0.138331408,3.59E-05,2.27E-06,0.532032583
100507,0,0,0,0,0,6.43E-05
101678,0,0,1.31E-06,0,0,0.497756394
101156,0,0,0.29948747,6.67E-06,1.71E-08,0.895435424
101638,0,0,0,0,0,0.002914641
100340,0,0,0.014777655,0,0,0.650186737
101647,0,0,0.596313916,0,0,0.522562359
100310,4.29E-09,0,0.148230495,0.002844737,9.26E-05,0.227289442
100504,0,0,0,0,0,0
100391,0,0,0.377053753,0.000120939,1.34E-07,0.109168606
101408,0,0,0.135146303,0,0,0.200098651
100498,0,0,0.305349758,0,0,0.422093642
100731,2.83E-08,0,0.005169485,4.67E-05,8.21E-08,0.067459242
100033,0,0,0,0,0,0.00172379
101207,0,0,1.81E-05,0,0,0.804965129
101443,0,0,0.073102278,0,0,0.503554266
101532,0,0,0,0,0,0
